circuit_name,shots,optimization_level,noise_rate,num_qubits,depth,count_1q,count_2q,runtime,tvd,top_state,success_probability,n_qubits_config,depth_config,repeat
GHZ,2048,1,0.01,2,3,1,1,0.0058345794677734375,0.010253906249999889,00,,2,,0
GHZ,2048,1,0.05,2,3,1,1,0.005536556243896484,0.05419921874999989,11,,2,,0
GHZ,2048,2,0.0,2,3,1,1,0.005425930023193359,0.0009765625,00,,2,,0
GHZ,2048,2,0.001,2,3,1,1,0.0066792964935302734,0.001953124999999889,00,,2,,0
GHZ,2048,2,0.005,2,3,1,1,0.004435300827026367,0.005859374999999889,11,,2,,0
GHZ,2048,2,0.01,2,3,1,1,0.005524873733520508,0.010253906249999889,00,,2,,0
GHZ,2048,2,0.03,2,3,1,1,0.006560325622558594,0.03222656249999989,11,,2,,0
GHZ,2048,2,0.05,2,3,1,1,0.007199764251708984,0.05419921874999989,11,,2,,0
GHZ,2048,3,0.0,2,3,1,1,0.0073201656341552734,0.0009765625,00,,2,,0
GHZ,2048,3,0.001,2,3,1,1,0.006320953369140625,0.001953124999999889,00,,2,,0
GHZ,2048,3,0.005,2,3,1,1,0.0059354305267333984,0.005859374999999889,11,,2,,0
GHZ,2048,3,0.03,2,3,1,1,0.005959272384643555,0.03222656249999989,11,,2,,0
GHZ,2048,3,0.01,2,3,1,1,0.006541013717651367,0.010253906249999889,00,,2,,0
GHZ,2048,3,0.05,2,3,1,1,0.008170604705810547,0.05419921874999989,11,,2,,0
GHZ,4096,0,0.0,2,3,1,1,0.008275508880615234,0.00537109375,11,,2,,0
GHZ,4096,0,0.005,2,3,1,1,0.010126829147338867,0.00830078125,11,,2,,0
GHZ,4096,0,0.01,2,3,1,1,0.011840343475341797,0.010986328125,11,,2,,0
GHZ,4096,0,0.001,2,3,1,1,0.0214080810546875,0.006591796875,11,,2,,0
GHZ,4096,0,0.03,2,3,1,1,0.015778064727783203,0.03100585937499989,11,,2,,0
GHZ,4096,0,0.05,2,3,1,1,0.010897159576416016,0.05029296874999989,11,,2,,0
GHZ,4096,1,0.005,2,3,1,1,0.011436223983764648,0.00830078125,11,,2,,0
GHZ,4096,1,0.0,2,3,1,1,0.006913661956787109,0.00537109375,11,,2,,0
GHZ,4096,1,0.001,2,3,1,1,0.01205134391784668,0.006591796875,11,,2,,0
GHZ,4096,1,0.03,2,3,1,1,0.010644674301147461,0.03100585937499989,11,,2,,0
GHZ,4096,1,0.01,2,3,1,1,0.011843681335449219,0.010986328125,11,,2,,0
GHZ,4096,1,0.05,2,3,1,1,0.01102900505065918,0.05029296874999989,11,,2,,0
GHZ,4096,2,0.0,2,3,1,1,0.011607646942138672,0.00537109375,11,,2,,0
GHZ,4096,2,0.001,2,3,1,1,0.013676881790161133,0.006591796875,11,,2,,0
GHZ,4096,2,0.005,2,3,1,1,0.015697240829467773,0.00830078125,11,,2,,0
GHZ,4096,2,0.03,2,3,1,1,0.014547348022460938,0.03100585937499989,11,,2,,0
GHZ,4096,2,0.01,2,3,1,1,0.016020774841308594,0.010986328125,11,,2,,0
GHZ,4096,2,0.05,2,3,1,1,0.010963678359985352,0.05029296874999989,11,,2,,0
GHZ,4096,3,0.0,2,3,1,1,0.011278867721557617,0.00537109375,11,,2,,0
GHZ,4096,3,0.005,2,3,1,1,0.009999990463256836,0.00830078125,11,,2,,0
GHZ,4096,3,0.001,2,3,1,1,0.01219034194946289,0.006591796875,11,,2,,0
GHZ,4096,3,0.01,2,3,1,1,0.011819601058959961,0.010986328125,11,,2,,0
GHZ,4096,3,0.03,2,3,1,1,0.016303062438964844,0.03100585937499989,11,,2,,0
GHZ,4096,3,0.05,2,3,1,1,0.012616395950317383,0.05029296874999989,11,,2,,0
GHZ,128,0,0.0,3,4,1,2,0.0011408329010009766,0.046875,111,,3,,0
GHZ,128,0,0.001,3,4,1,2,0.0015511512756347656,0.046875,111,,3,,0
GHZ,128,0,0.01,3,4,1,2,0.0018057823181152344,0.0546875,111,,3,,0
GHZ,128,0,0.03,3,4,1,2,0.001909017562866211,0.078125,111,,3,,0
GHZ,128,0,0.005,3,4,1,2,0.0015552043914794922,0.0546875,111,,3,,0
GHZ,128,0,0.05,3,4,1,2,0.0017075538635253906,0.12499999999999989,111,,3,,0
GHZ,128,1,0.0,3,4,1,2,0.000993967056274414,0.046875,111,,3,,0
GHZ,128,1,0.005,3,4,1,2,0.0015914440155029297,0.0546875,111,,3,,0
GHZ,128,1,0.001,3,4,1,2,0.0016713142395019531,0.046875,111,,3,,0
GHZ,128,1,0.01,3,4,1,2,0.0014483928680419922,0.0546875,111,,3,,0
GHZ,128,1,0.03,3,4,1,2,0.0018985271453857422,0.078125,111,,3,,0
GHZ,128,1,0.05,3,4,1,2,0.001605987548828125,0.12499999999999989,111,,3,,0
